fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.21698,0.01009,0.00638,0.79546,0.00054,3.19811,0.70931,7.98021,0.54535,1.26159,0.01594,0.56541,0.38209,0.0,0.08468,0.37633,0.0,0.0,0.0,0.51159,0.0,1.0,0.0,0.0
0.21869,0.0074,0.00695,0.7932,0.00051,2.87837,0.74719,7.73823,0.49341,1.3683,0.01653,0.57225,0.35358,0.0,0.09163,0.37756,0.0,0.0,0.0,0.59996,0.0,0.99811,0.0,0.0
0.21374,0.0099,0.0064,0.79584,0.00054,3.20571,0.70983,7.78513,0.54387,1.26552,0.01609,0.55952,0.36965,0.0,0.08444,0.37768,0.0,0.0,0.0,0.50562,0.0,0.9966,0.0,0.0
0.21062,0.01192,0.00724,0.7829,0.00053,3.08843,0.70086,8.81516,0.53754,1.38525,0.02247,0.53265,0.35335,0.0,0.11011,0.35663,0.0,0.0,0.0,0.51123,0.0,0.99299,0.0,0.0
0.21981,0.01011,0.00729,0.80574,0.00053,3.14696,0.6843,8.11871,0.53239,1.31626,0.01534,0.56541,0.3547,0.0,0.09175,0.41177,0.0,0.0,0.0,0.49779,0.0,0.99159,0.0,0.0
0.22961,0.01056,0.00705,0.81053,0.00054,2.62476,0.70931,6.88736,0.4794,0.72781,0.01524,0.56541,0.48063,0.0,0.07406,0.28985,0.0,0.0,0.0,0.47655,0.0,1.0,0.0,0.0
0.21736,0.01052,0.00707,0.80634,0.00054,2.62613,0.71854,6.8207,0.4794,0.72329,0.01524,0.57453,0.47733,0.0,0.07383,0.28985,0.0,0.0,0.0,0.47683,0.0,0.99449,0.0,0.0
0.20737,0.01487,0.00724,0.76396,0.00056,4.15604,0.53189,7.90687,0.50233,1.25316,0.02017,0.59684,0.34606,0.0,0.12293,0.44491,0.0,0.0,0.0,0.46091,0.0,1.0,0.0,0.0
0.19788,0.00774,0.00638,0.76732,0.00054,2.66715,0.73856,9.02607,0.46927,1.62822,0.02243,0.67767,0.40262,0.0,0.10764,0.36678,0.0,0.0,0.0,0.54864,0.0,1.0,0.0,0.0
0.21068,0.0114,0.0076,0.76844,0.00047,3.10968,0.70086,8.78898,0.47643,1.38525,0.02389,0.42621,0.29916,0.0,0.0995,0.346,0.0,0.0,0.0,0.45582,0.0,1.0,0.0,0.0
0.21612,0.01423,0.00644,0.78848,0.00052,2.62476,0.83738,8.31704,0.55612,0.72781,0.01524,0.57981,0.48063,0.0,0.07682,0.29969,0.0,0.0,0.0,0.47655,0.0,0.56126,0.0,0.0
0.22117,0.01065,0.00705,0.80873,0.00054,2.72224,0.70931,7.01292,0.4706,0.71363,0.01528,0.56541,0.47446,0.0,0.07562,0.28928,0.0,0.0,0.0,0.46583,0.0,1.0,0.0,0.0
